Year,Which of the following languages or technologies have you used significantly in the past year?
2013,"Java, JavaScript, jQuery, SQL"
2013,"JavaScript, jQuery, Node.js, PHP"
2013,"MATLAB, Common Lisp, awk, vim"
2013,"JavaScript, jQuery, PHP, SQL, AutoIT"
2013,
2013,"C++, JavaScript, jQuery, PHP, SQL, codeigniter"
2013,"C, C#, Java"
2013,"jQuery, Ruby, Coffeescript"
2013,Python
2013,"JavaScript, jQuery, PHP, Python, SQL"
2013,
2013,"JavaScript, jQuery, Objective-C, PHP, SQL"
2013,"JavaScript, Python, google app engine"
2013,"Objective-C, Pro-IV"
2013,
2013,"C#, Java, JavaScript, jQuery, Python, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C++, Java, JavaScript, Python"
2013,"C++, Java, Python, perl"
2013,"C, Java, JavaScript, jQuery, Objective-C, PHP, Python, SQL"
2013,"C, Java, Python, SQL"
2013,"SQL, Coldfusion"
2013,C#
2013,"C++, C#, Python"
2013,
2013,"C, C++, Objective-C"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, Java, JavaScript, PHP, Python, SQL"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, JavaScript, jQuery, Node.js, SQL"
2013,"C#, Java, JavaScript, jQuery, PHP"
2013,"Java, JavaScript, jQuery, PHP, Python, SQL"
2013,"Java, JavaScript, jQuery, SQL, Play Framework 2"
2013,"C++, C#, Objective-C"
2013,"JavaScript, jQuery, Python"
2013,"JavaScript, jQuery, PHP"
2013,"C#, jQuery, SQL"
2013,"C#, Java, JavaScript, jQuery, Objective-C, Ruby, SQL"
2013,"C, C++, Objective-C, Python, Perl"
2013,"JavaScript, jQuery, PHP, Ruby"
2013,C++
2013,
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C, C++, JavaScript, jQuery, Node.js, Python, SQL"
2013,"C, C++, Ruby"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, C#, Python"
2013,"Java, Python"
2013,"C++, JavaScript, jQuery, Python, SQL"
2013,"Java, Python"
2013,
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"Python, SQL"
2013,"JavaScript, jQuery, Objective-C, Python, SQL, Django"
2013,"C++, Java, Python, SQL"
2013,
2013,
2013,"C#, JavaScript, Ruby, SQL"
2013,"PHP, SQL"
2013,
2013,"C, C++, JavaScript, jQuery, PHP, Ruby, SQL"
2013,"Java, JavaScript, jQuery, SQL"
2013,"C, C++, C#, JavaScript, Objective-C, PHP, C++/CLI"
2013,"JavaScript, jQuery, Python"
2013,"C#, JavaScript, jQuery, SQL"
2013,"JavaScript, Python"
2013,
2013,Objective-C
2013,"C, Java, Objective-C"
2013,Python
2013,"C#, Java, JavaScript, Node.js"
2013,"C++, Java, PHP, SQL, LabView"
2013,"C#, JavaScript, jQuery, Python, SQL"
2013,"C, perl"
2013,"C, C++, Matlab"
2013,"C, C++, R"
2013,
2013,"C#, JavaScript, jQuery, PHP, SQL"
2013,
2013,"C, C++, Python"
2013,"JavaScript, jQuery, PHP, Ruby, SQL"
2013,Java
2013,
2013,R
2013,
2013,"C, C++, Java, JavaScript, jQuery, PHP, SQL, Perl"
2013,"JavaScript, SQL, Google Apps Script"
2013,
2013,"C, C++"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, Java, JavaScript, jQuery, PHP, SQL, ActionScript, Flash, Asp.Net, Asp.Net MVC"
2013,"JavaScript, PHP, SQL"
2013,"C, C++, JavaScript, Python"
2013,
2013,"C#, PHP, SQL"
2013,
2013,"JavaScript, jQuery, Python"
2013,"C, C++, Java, JavaScript, jQuery, Node.js, Objective-C, Python, SQL"
2013,"C, C++, C#, Java, JavaScript, PHP, Python, SQL"
2013,"C++, JavaScript, jQuery, Objective-C, Ruby, SQL"
2013,"C++, JavaScript, jQuery, Python"
2013,"C#, Python"
2013,"C, Java, JavaScript, Python"
2013,"Java, jQuery, JSF"
2013,"C#, SQL"
2013,
2013,
2013,"C++, JavaScript, jQuery, PHP, Ruby, SQL"
2013,"Java, JavaScript, jQuery, PHP, Python, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C, Java, jQuery, Python"
2013,
2013,"JavaScript, jQuery, Objective-C, Ruby, SQL"
2013,"C++, JavaScript, PHP, Visual Basic"
2013,"C, C++, C#, Java, Objective-C, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C++, C#"
2013,"C#, jQuery, PHP, SQL"
2013,"C++, Java, JavaScript, jQuery, PHP, Python, Ruby, SQL"
2013,"C#, JavaScript, PHP, SQL, plsql"
2013,
2013,"C, Java"
2013,
2013,"C, Java, Python, SQL"
2013,Java
2013,Java
2013,"C#, JavaScript, jQuery, PHP, Python, SQL, R"
2013,
2013,"C#, Java, JavaScript, jQuery, Python"
2013,"Java, JavaScript, jQuery, SQL"
2013,"Objective-C, PHP, SQL"
2013,"C++, Java, JavaScript, Python, Closure, Go"
2013,"JavaScript, jQuery, Ruby, SQL"
2013,"C, C++, C#"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,
2013,
2013,
2013,"C#, JavaScript, jQuery, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,
2013,
2013,"C#, Java, Objective-C, Python"
2013,
2013,"C, Java, Python, SQL"
2013,
2013,"JavaScript, jQuery, PHP"
2013,"JavaScript, jQuery, Node.js, PHP, Python, SQL"
2013,C#
2013,
2013,"C++, C#, JavaScript, jQuery, PHP, Python"
2013,"JavaScript, jQuery, Ruby"
2013,"JavaScript, PHP, SQL"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, PHP"
2013,"JavaScript, jQuery, Ruby, R"
2013,"C++, C#, PHP, SQL"
2013,Objective-C
2013,"C, C++, Python"
2013,"JavaScript, jQuery, Node.js, Python, Ruby, groovy"
2013,"C, C#, JavaScript, jQuery"
2013,"C, C#, Java, JavaScript, jQuery, Python, SQL"
2013,
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,
2013,"Java, JavaScript, jQuery, PHP, SQL, action script 3"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, Objective-C"
2013,"JavaScript, jQuery, Node.js, Python, LESS, CoffeeScript"
2013,"C#, jQuery, SQL"
2013,"C#, JavaScript, jQuery, Node.js, SQL"
2013,
2013,
2013,"Java, JavaScript, jQuery"
2013,"C#, Java, PHP, Ruby"
2013,Java
2013,"C++, ASM"
2013,"C#, JavaScript, SQL"
2013,"C, C++, C#, Java, PHP, Python, SQL"
2013,PHP
2013,VB
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, SQL"
2013,"C#, JavaScript, SQL"
2013,
2013,"C#, SQL"
2013,"C#, Java, JavaScript, SQL"
2013,"C, C#, Python"
2013,"SQL, Delphi"
2013,"Node.js, Python"
2013,
2013,"C, C++, C#, Java, JavaScript, jQuery, Objective-C, PHP"
2013,"C#, Python"
2013,"JavaScript, jQuery, Ruby, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, Java"
2013,
2013,"C#, JavaScript, jQuery, SQL"
2013,
2013,"C#, JavaScript, jQuery"
2013,"C++, Python"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,
2013,
2013,"C#, JavaScript, jQuery, SQL, AJAX"
2013,"C, C++, JavaScript, jQuery, Objective-C, Python, SQL"
2013,"C, Java, Objective-C, SQL, MATLAB"
2013,"C++, Java, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C++, Java, SQL"
2013,"C, C++, C#, JavaScript, jQuery, PHP"
2013,
2013,"C, C++, JavaScript, jQuery, Python"
2013,"C, C++, Java, Python, Verilog"
2013,"JavaScript, jQuery, PHP, SQL, html,ajax"
2013,C
2013,"C, C++, C#"
2013,
2013,Objective-C
2013,"C#, Objective-C, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, Ruby, Scala, Nimrod"
2013,"C++, C#, Java, SQL"
2013,"Objective-C, PHP"
2013,"JavaScript, jQuery"
2013,"JavaScript, Python"
2013,
2013,"C, C++, C#, Objective-C, PHP, SQL"
2013,"PHP, SQL"
2013,"jQuery, PHP, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C, Java, JavaScript, SQL"
2013,"C, PHP, Perl"
2013,"JavaScript, jQuery, Node.js, Ruby"
2013,"C, Java, PHP, SQL, Fortran, Pascal"
2013,"C++, JavaScript, Python, MongoDB"
2013,"Java, Python, Haskell"
2013,"C, C++, C#, JavaScript, jQuery, Node.js, Objective-C, Ruby, SQL"
2013,"C++, MongoDB Qt"
2013,JavaScript
2013,"C, JavaScript, Python, SQL, Clojure"
2013,"C, JavaScript, jQuery, Python, CUDA"
2013,"C++, Java, JavaScript, jQuery, PHP, SQL"
2013,"C++, Java"
2013,
2013,Java
2013,"JavaScript, jQuery, PHP"
2013,"JavaScript, jQuery, Node.js, PHP, Python"
2013,"Java, JavaScript, jQuery"
2013,"C++, Python, BashScript"
2013,"PHP, Perl"
2013,"Java, Python, SQL, xml, rdf, owl"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,"C++, C#, Python, SQL, Delphi"
2013,"C++, Java, JavaScript, PHP, Ruby"
2013,
2013,"JavaScript, jQuery, Python, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, Python"
2013,
2013,"C#, Java, JavaScript, jQuery, Node.js, Objective-C, PHP, SQL, groovy"
2013,"JavaScript, jQuery, Python"
2013,"JavaScript, PHP, SQL"
2013,"C, C++, Java, JavaScript, PHP, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, Python, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, Python, R"
2013,"Java, JavaScript, jQuery, Ruby, SQL"
2013,"Java, JavaScript, Perl"
2013,"C, Python, Ruby, SQL, r"
2013,"JavaScript, Python, SQL"
2013,"C++, C#, JavaScript, jQuery, SQL, PowerShell"
2013,Python
2013,"C, C++, C#, Java, JavaScript, Node.js, SQL"
2013,
2013,"C, C++, Java"
2013,
2013,"C, C++, C#"
2013,"Java, JavaScript, jQuery, SQL"
2013,"JavaScript, jQuery, Node.js, Objective-C, Python, Ruby, SQL"
2013,"C, JavaScript, jQuery, Node.js, PHP"
2013,"Python, Scala"
2013,"C#, JavaScript, jQuery, Node.js, Objective-C, SQL"
2013,"C#, JavaScript, jQuery, Node.js, Objective-C, PHP, SQL"
2013,"JavaScript, jQuery, Python"
2013,"C#, JavaScript, jQuery"
2013,"C, C++, C#, Java, JavaScript, jQuery, Objective-C, SQL, LISP"
2013,"JavaScript, jQuery, php"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, JavaScript, jQuery, PHP, Python"
2013,"C++, C#, Java"
2013,SQL
2013,"Java, JavaScript, jQuery, Python, SQL, ZK"
2013,"C#, jQuery, PHP"
2013,"Java, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, Java, JavaScript, jQuery, Node.js, SQL"
2013,"C++, C#, JavaScript"
2013,"JavaScript, jQuery, Node.js, PHP, Python, SQL"
2013,"C, perl"
2013,"C++, JavaScript, jQuery, Objective-C, Python, SQL"
2013,"C#, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, PHP, Perl"
2013,
2013,
2013,"JavaScript, jQuery, PHP, Ruby, SQL, Delphi"
2013,
2013,"JavaScript, jQuery, PHP"
2013,"C, Python, perl"
2013,"C#, JavaScript, SQL"
2013,"C++, C#, JavaScript, jQuery, Node.js, Objective-C, PHP, SQL"
2013,"C, C++, Java, JavaScript, PHP, SQL"
2013,"C#, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,"C#, JavaScript"
2013,"SQL, VB.Net"
2013,Powershell
2013,"C#, SQL"
2013,"JavaScript, jQuery, PHP, Ruby"
2013,"C, C++, Java, JavaScript, jQuery, Node.js, Python, SQL"
2013,
2013,
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C, Java, JavaScript, jQuery, PHP, Python, SQL"
2013,"C#, JavaScript, Ruby"
2013,
2013,"SQL, VB .NET"
2013,"JavaScript, jQuery, PHP, Ruby"
2013,"C#, PHP"
2013,"JavaScript, jQuery, SQL, ColdFusion"
2013,"C++, C#, JavaScript, jQuery, Node.js, Python"
2013,"Objective-C, PHP"
2013,"C, Perl"
2013,
2013,"JavaScript, jQuery, PHP, Python"
2013,"Java, JavaScript, jQuery, Node.js"
2013,"JavaScript, Ruby"
2013,"C#, JavaScript, jQuery, SQL"
2013,"SQL, PL/SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, JavaScript, jQuery, Node.js, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"jQuery, PHP"
2013,"JavaScript, jQuery, PHP, SQL, CSS"
2013,"JavaScript, jQuery, PHP"
2013,"C, Java"
2013,"C, C++, C#, Java, JavaScript, jQuery, Node.js, Objective-C, PHP, Python, Ruby, SQL"
2013,C#
2013,"C, C++, C#, Java, JavaScript, jQuery, Objective-C"
2013,
2013,"C#, JavaScript, jQuery, SQL, VB.NET"
2013,"C#, JavaScript, jQuery, SQL"
2013,"Java, PHP, SQL"
2013,Delphi
2013,"C, C#, Python, SQL"
2013,"C, C++, C#, Java, Node.js, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, SQL"
2013,"JavaScript, jQuery"
2013,
2013,"C#, JavaScript, jQuery, Objective-C, PHP, SQL, Classic ASP"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript"
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"Java, Ruby, SQL"
2013,"C#, JavaScript, jQuery, Objective-C, SQL, Silverlight"
2013,"C#, Java, JavaScript, Objective-C, Python, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, SQL"
2013,"JavaScript, jQuery, Node.js, PHP, Python, Ruby, SQL, Clojure"
2013,"Python, Matlab"
2013,"Java, PHP"
2013,"SQL, lisp"
2013,"JavaScript, Selenium scripting"
2013,
2013,C++
2013,"C#, JavaScript, jQuery, SQL, Delphi"
2013,"C#, Java, JavaScript, jQuery, PHP, Python, Ruby, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, JavaScript, jQuery"
2013,"C++, C#, Haskell"
2013,"C, C++, Python"
2013,"C#, JavaScript, jQuery, Python, SQL"
2013,"C++, JavaScript, jQuery, PHP, SQL, Matlab"
2013,"JavaScript, jQuery, PHP, SQL, Classic ASP/vbScript"
2013,"Java, JavaScript, jQuery, Node.js, PHP, Python, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, SQL"
2013,"Java, JavaScript, jQuery, Node.js"
2013,"Java, JavaScript, PHP, SQL"
2013,"C#, Java, JavaScript, Node.js, Python"
2013,"C#, SQL"
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,Objective-C
2013,"Python, Ruby, SQL"
2013,"C#, SQL, VB, Common Lisp"
2013,
2013,"C++, C#, JavaScript, jQuery, SQL"
2013,
2013,"C++, Java, JavaScript, jQuery, Node.js, PHP, SQL"
2013,"C, C++, JavaScript, jQuery, PHP, Python, SQL, BASH"
2013,"C#, JavaScript"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"Java, Scala, OpenGL, Play Framework 2, MongoDB"
2013,"C++, C#, JavaScript, jQuery, SQL"
2013,"SQL, Perl"
2013,"JavaScript, jQuery, PHP, SQL"
2013,
2013,"C, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,"C#, SQL, Fortran, BASIC"
2013,"C#, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, SQL, GWT"
2013,"C++, Java, JavaScript, Ruby, perl"
2013,
2013,"JavaScript, jQuery, Node.js, PHP, SQL"
2013,"C#, JavaScript, jQuery, SQL, Powershell"
2013,"C#, JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, Objective-C"
2013,"Java, JavaScript, jQuery, Node.js, Python, SQL"
2013,"C#, Python"
2013,
2013,"C++, C#"
2013,
2013,"Java, SQL, plpgsql"
2013,"C, Python, SQL"
2013,"Java, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, JavaScript, jQuery, PHP"
2013,"Java, JavaScript"
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,"C, C#, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,
2013,"C#, JavaScript, jQuery, PHP, SQL, HTML"
2013,Java
2013,"Java, JavaScript, jQuery, Ruby, SQL"
2013,"C++, Java, JavaScript, jQuery, PHP, Python, SQL, ActionScript"
2013,"C#, JavaScript, jQuery, SQL, MVC, Selenium, TestComplete"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, Node.js, PHP, Ruby, SQL"
2013,"C#, JavaScript, SQL, Typescript"
2013,
2013,"C, C++, C#, Java, JavaScript, Objective-C, PHP, SQL"
2013,"C++, JavaScript, jQuery, Objective-C, PHP"
2013,"C#, JavaScript, SQL"
2013,"C#, JavaScript, SQL"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C, JavaScript, jQuery, PHP, SQL"
2013,
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, Java"
2013,"C, C++, Java, JavaScript, jQuery, PHP, SQL"
2013,"C#, JavaScript, jQuery, PHP"
2013,"JavaScript, jQuery, PHP, Python, SQL"
2013,
2013,"C#, SQL, VB.NET, MDX"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C, C++, C#, Java, JavaScript, jQuery, SQL, Delphi"
2013,"JavaScript, SQL, Delphi"
2013,
2013,C#
2013,"C, Java"
2013,"C#, JavaScript, SQL"
2013,"Java, Ruby"
2013,Java
2013,
2013,
2013,"C#, Objective-C"
2013,"Java, JavaScript, jQuery, Ruby, SQL, Go"
2013,"jQuery, PHP"
2013,"C, C++, Java, JavaScript, jQuery, PHP, SQL"
2013,"C++, Java, JavaScript, jQuery, PHP"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, JavaScript, jQuery, PHP, SQL"
2013,"Java, Objective-C, SQL"
2013,"C#, JavaScript, jQuery"
2013,"C, JavaScript, jQuery, Ruby, SQL"
2013,"JavaScript, Ruby, CoffeeScript"
2013,"Java, JavaScript, SQL"
2013,"JavaScript, jQuery, Python, SQL"
2013,"Java, PHP"
2013,
2013,"C#, Objective-C"
2013,"Java, JavaScript, jQuery, Python, SQL, Django"
2013,Java
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C, Java, JavaScript, SQL, XSL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, C#"
2013,"jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, Python, SQL, coldfusion"
2013,"C, Java, JavaScript, Scala, Maude"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, PHP"
2013,"Java, Groovy"
2013,"Java, JavaScript, PHP, SQL, Groovy"
2013,
2013,"JavaScript, jQuery, Ruby, SQL"
2013,"C++, PHP, SQL, Delphi"
2013,"C++, JavaScript, Python"
2013,
2013,"Java, JavaScript, jQuery, SQL"
2013,"C#, SQL"
2013,"C#, Java, JavaScript, SQL"
2013,"C, Java, Python, Ruby"
2013,"Java, JavaScript, SQL"
2013,"Java, Python, SQL, XSLT XML JMS"
2013,"C#, Java, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,"C, C++, Java, Objective-C"
2013,"C#, jQuery"
2013,"C#, JavaScript, jQuery"
2013,"C++, Java, JavaScript, Node.js, Python"
2013,"C, C#, Java, JavaScript, PHP, SQL"
2013,"JavaScript, jQuery, Python, Ruby, SQL"
2013,"C#, SQL"
2013,"C, C#, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, jQuery, SQL"
2013,C#
2013,"Java, SQL"
2013,"C#, Java, JavaScript, jQuery, SQL"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, C#, Java, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,"Java, JavaScript, SQL"
2013,"C++, Java"
2013,"Java, JavaScript"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C, C++, JavaScript, jQuery, Node.js, Python"
2013,"C, Objective-C"
2013,"C++, JavaScript, jQuery, PHP"
2013,"C, C++"
2013,"C++, C#, Java, JavaScript, jQuery, SQL"
2013,"C#, Java, JavaScript, jQuery, Objective-C"
2013,"C, C++, C#, Java, JavaScript, jQuery, PHP, SQL"
2013,"C, C++, Java"
2013,"C, Java, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,vbscript
2013,"C#, Objective-C, Python, SQL, SAS"
2013,"C, C#, SQL"
2013,"C, JavaScript, Python, MongoDB"
2013,"Java, JavaScript, PHP, SQL"
2013,"C, C++, C#, Java, JavaScript, jQuery, PHP, Python, SQL"
2013,
2013,"C++, JavaScript, jQuery, Objective-C, PHP"
