What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Germany,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United Kingdom,,35-39,11,Education,Mid Sized (100-999),IT Staff / System Administrator,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Web Platform,"nan, SQL, C#, C++, C",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Kindle, HDTV, Xbox","$1,001-$2,000",Server Fault
United Kingdom,,25-29,11,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,"nan, JavaScript, Python, SQL, C++, C, Perl",Linux,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Wii",$251-$500,Stack Overflow
India,,25-29,41435,Software Products,Mature Small Business (25-100),Database Administrator,Once in a blue moon,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, C#",Windows 7,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone","$2,001-$3,000",Stack Overflow
United Kingdom,,30-34,11,Education,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"Java, JavaScript, CSS, PHP, Python, SQL, C",Linux,I'm not happy in my job,"$40,000 - $60,000","iPhone, Kindle, HDTV","$501-$1,000",Stack Overflow
Other Europe,,20-24,41310,Web Services,Student,Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Servers","nan, Don't know",Web Platform,"Java, Python, SQL",Linux,I enjoy going to work,Student / Unemployed,nan,">$3,000",Stack Overflow
United States of America,California,25-29,11,Foundation / Non-Profit,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#, Perl, VB",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, iPad, Wii","$2,001-$3,000",Stack Overflow
Australia,,25-29,41310,Finance / Banking,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Servers, Software, Consultants","nan, Don't know",Enterprise,"Java, Python, SQL, C#, C, MATLAB",Windows 7,So happy it hurts,">$140,000","nan, Blackberry",">$3,000",Stack Overflow
Australia,,30-34,11,Consulting,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Enterprise,"nan, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV, PS3, Wii","$501-$1,000",Stack Overflow
United States of America,Idaho,20-24,41310,Other,Start Up (1-25),Student,Unless it's stoopid it gets done,"Influencer, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"Java, JavaScript, CSS, PHP",Mac OS X,I enjoy going to work,Student / Unemployed,"nan, Android, HDTV, iPad, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,Massachusetts,25-29,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,"Java, Python, C#",Windows XP,I enjoy going to work,"$60,000 - $80,000","iPhone, HDTV, PS3",$100-$250,Stack Overflow
France,,25-29,41435,Web Services,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",SaaS,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,"$40,000 - $60,000","nan, Android, Other netbook",$251-$500,Stack Overflow
United States of America,Virginia,25-29,41310,Other,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Enterprise,"Java, Python, C++",Linux,I'm not happy in my job,"$60,000 - $80,000","iPhone, Xbox","$1,001-$2,000",Server Fault
Germany,,25-29,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software","nan, $10,001 - $25,000",Enterprise,"nan, PHP, SQL, C#, C++, C",Windows 7,I'm not happy in my job,"$80,000 - $100,000","nan, Other Smart Phone, Blu-Ray, Xbox","$501-$1,000",Stack Overflow
United States of America,South Carolina,35-39,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
United States of America,Oregon,35-39,11,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,Influencer,"nan, Software","nan, >$150,000",Enterprise,"nan, SQL, C#",Windows 7,It pays the bills,"$100,000 - $120,000","nan, Android, Blu-Ray, PS3","$2,001-$3,000",Stack Overflow
Australasia,,51-60,11,Consulting,"Other (not working, consultant, etc.)",IT Staff / System Administrator,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $25,001 - $40,000",Enterprise,"nan, CSS, SQL, C#, C++",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Other Smart Phone, Kindle, Other netbook","$2,001-$3,000",Stack Overflow
Canada,,30-34,41435,Other,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","<$10,000",Web Platform,"nan, SQL, C#",Windows XP,It pays the bills,"$40,000 - $60,000","nan, Wii, Other gaming system",$100-$250,Programmers Stack Exchange
France,,20-24,41310,Retail,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, >$150,000",Web Platform,"Java, SQL, C#",Windows XP,I enjoy going to work,"$20,000 - $40,000",iPhone,"$501-$1,000",Stack Overflow
United States of America,Florida,25-29,11,Web Services,,,,nan,nan,nan,,nan,,,,nan,,
United Kingdom,,30-34,41435,Other,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Xbox, Other gaming system, iTouch",$100-$250,Stack Overflow
Germany,,25-29,11,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,"Java, JavaScript, CSS, Python, Ruby, SQL, C#, C++, C",Windows 7,I'm not happy in my job,"$20,000 - $40,000","nan, Android","$2,001-$3,000",Other
United States of America,California,30-34,41435,Other,Mature Small Business (25-100),Other,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Mobile,"Java, PHP, Python, C++, C",Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Android, Blackberry, Other Smart Phone, Regular Mobile Phone, Nook, iPad, Xbox, Wii","$501-$1,000",Programmers Stack Exchange
Other Europe,,25-29,41310,Other,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other Smart Phone, Regular Mobile Phone, Other netbook, Xbox","$501-$1,000",Stack Overflow
Other Europe,,30-34,41435,Consulting,Start Up (1-25),IT Staff / System Administrator,It's been known to happen,Influencer,Hardware,"nan, $41,000 - $75,000",Enterprise,"Java, JavaScript, Python",Linux,I enjoy going to work,"$80,000 - $100,000","nan, Android, HDTV, Xbox, Wii","$501-$1,000",Stack Overflow
Other Europe,,20-24,41310,Education,,,,nan,nan,nan,,nan,,,,nan,,
Germany,,25-29,41310,Software Products,Start Up (1-25),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"Java, JavaScript, Objective-C 2.0",Mac OS X,I enjoy going to work,"$20,000 - $40,000","nan, Android, Blu-Ray, HDTV, PS3","$501-$1,000",Stack Overflow
Germany,,25-29,41310,Consulting,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS",Windows 7,I'm not happy in my job,"$20,000 - $40,000","nan, Regular Mobile Phone, HDTV","$2,001-$3,000",Stack Overflow
Other Asia,,20-24,41310,Software Products,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, SQL, C#",Windows XP,I enjoy going to work,"<$20,000",nan,<$100,Stack Overflow
Russia,,25-29,41435,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,I run this place,"Influencer, Recommender, Check Writer","nan, Servers, Software","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, SQL, C#",Windows Vista,I enjoy going to work,"<$20,000","nan, Kindle, HDTV",$251-$500,Stack Overflow
South America,,30-34,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Approver, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, C#",Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Other netbook",$251-$500,Stack Overflow
Middle East,,20-24,41310,Software Products,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Other,"nan, C#, C++",Windows 7,I enjoy going to work,,nan,,Stack Overflow
Other Europe,,35-39,11,Other,Start Up (1-25),Other,I run this place,"nan, Approver, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Mobile,"nan, Objective-C",Mac OS X,It pays the bills,"$40,000 - $60,000","iPhone, Regular Mobile Phone, Kindle, iPad","$1,001-$2,000",Stack Overflow
Australia,,35-39,11,Education,"Other (not working, consultant, etc.)",Student,Once in a blue moon,Influencer,"Hardware, Software","nan, Don't know",Other,"Java, JavaScript, CSS, PHP, SQL, Perl",Linux,I enjoy going to work,"$60,000 - $80,000","iPhone, HDTV, Other netbook, Wii","$501-$1,000",Stack Overflow
United Kingdom,,< 20,41310,Other,Student,Student,Unless it's stoopid it gets done,"nan, Recommender","nan, Other","nan, Don't know",Other,"nan, CSS, Python",Windows XP,So happy it hurts,Student / Unemployed,nan,<$100,Stack Overflow
Australia,,20-24,41310,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, Purchaser","nan, Software, Other","<$10,000",Web Platform,"Java, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, HDTV, PS3","$2,001-$3,000",Stack Overflow
Netherlands,,30-34,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,"nan, JavaScript, CSS, PHP, SQL, C",Linux,I enjoy going to work,,"nan, Regular Mobile Phone, Blu-Ray",$100-$250,Stack Overflow
Africa,,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL",Linux,It pays the bills,"$100,000 - $120,000","nan, Other Smart Phone, Kindle, Blu-Ray, HDTV, Other netbook, PS3","$2,001-$3,000",Stack Overflow
Other Europe,,40-50,11,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Consultants","nan, $75,001 - $100,000",Other,"nan, JavaScript, CSS, SQL, VBA",Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, plain old laptop, NAS",$251-$500,Stack Overflow
Other Europe,,25-29,41310,Software Products,Mature Small Business (25-100),Embedded Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Mobile,"nan, JavaScript, SQL, C#",Windows XP,FML,"$40,000 - $60,000","nan, Android, Regular Mobile Phone",$251-$500,Stack Overflow
Middle East,,20-24,41435,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, Don't know",Enterprise,"nan, SQL, C#, VB.NET, WPF, Silverlight, Entity-Framework",Windows 7,So happy it hurts,,"nan, Computers Computer Computers",,Stack Overflow
United States of America,Washington,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, Don't know",Web Platform,"Java, C",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Blackberry, Kindle, HDTV, Xbox, Wii","$1,001-$2,000",Stack Overflow
India,,30-34,41435,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Web Platform,"Java, JavaScript, CSS, PHP, SQL",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
United States of America,Oklahoma,< 20,41310,Other,"Other (not working, consultant, etc.)",Other,,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, PHP, Ruby, C#, C++, C",Linux,It pays the bills,Student / Unemployed,"nan, Android, Blu-Ray, Other netbook, PS3, Xbox",$251-$500,Stack Overflow
United States of America,California,25-29,41310,Other,"Other (not working, consultant, etc.)",Web Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Other,"nan, Python",Mac OS X,FML,Student / Unemployed,"iPhone, HDTV, iPad, Xbox",$100-$250,Programmers Stack Exchange
United States of America,California,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"Java, JavaScript, CSS, PHP, SQL, C++, C",Windows Vista,FML,"$40,000 - $60,000",nan,<$100,Stack Overflow
United States of America,Texas,25-29,11,Software Products,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, No Involvement, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, SQL, C#, C",Windows 7,It pays the bills,"$80,000 - $100,000","iPhone, Android, Blackberry, Kindle, Blu-Ray, HDTV, iPad, Xbox, Wii",">$3,000",Stack Overflow
United States of America,Washington DC,40-50,11,Other,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, Python, SQL, C",Linux,I enjoy going to work,"$120,000 - $140,000","iPhone, HDTV, iPad, Wii","$501-$1,000",Super User
United Kingdom,,35-39,11,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, Python, C++, C",Mac OS X,I enjoy going to work,"$80,000 - $100,000","iPhone, Other Smart Phone, HDTV, iPad, Wii","$501-$1,000",Stack Overflow
United States of America,Oregon,25-29,41435,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,"$120,000 - $140,000","iPhone, Other Smart Phone, HDTV","$1,001-$2,000",Stack Overflow
Other Europe,,30-34,41435,Software Products,Start Up (1-25),Server Programmer,I run this place,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,"Java, SQL, C#, C++, C",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, Other gaming system",$251-$500,Stack Overflow
United States of America,Iowa,35-39,11,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, C, Perl, Ada",Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Other Smart Phone, Blu-Ray, HDTV, Wii","$2,001-$3,000",Stack Overflow
United States of America,Indiana,25-29,41435,Retail,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Blu-Ray, HDTV, Xbox, Wii","$2,001-$3,000",Stack Overflow
United States of America,Missouri,20-24,41435,Education,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Purchaser","Hardware, Servers, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, Python, SQL, ASP Classic",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Android, Kindle, Other gaming system","$501-$1,000",Stack Overflow
United States of America,Colorado,25-29,41435,Other,Mature Small Business (25-100),IT Staff / System Administrator,It's been known to happen,"nan, Recommender","Hardware, Servers, Software","nan, Don't know",Web Platform,"nan, CSS, PHP, SQL, Perl",Mac OS X,I'm not happy in my job,"$40,000 - $60,000","iPhone, HDTV, iPad, PS3, Xbox, Wii",">$3,000",Other
Canada,,35-39,11,Healthcare,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, Consultants","<$10,000",Enterprise,"nan, JavaScript, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Regular Mobile Phone, Blu-Ray, HDTV, Xbox, Wii",">$3,000",Stack Overflow
France,,30-34,11,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, CSS, Python, C#, C++, C",Linux,,,nan,,
United States of America,Maryland,35-39,11,Other,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, JavaScript, CSS, PHP, SQL, C, Perl",Mac OS X,I enjoy going to work,"$80,000 - $100,000","nan, Other Smart Phone, Xbox, Wii, Other gaming system",">$3,000",Other
Other Europe,,25-29,41310,Software Products,Mid Sized (100-999),Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"nan, Python, C++, C",Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Android",$251-$500,Stack Overflow
United States of America,Arizona,40-50,11,Other,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, SQL",Windows 7,I'm not happy in my job,Student / Unemployed,"nan, Other Smart Phone, Blu-Ray, HDTV","$1,001-$2,000",Stack Overflow
Other Europe,,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",SaaS,"Java, JavaScript, CSS, PHP, Ruby, SQL",Linux,I enjoy going to work,"<$20,000","nan, Android, Other Smart Phone, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Xbox",$251-$500,Stack Overflow
Canada,,40-50,41435,Web Services,Mature Small Business (25-100),Server Programmer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Web Platform,"nan, SQL, C#",Windows 7,It pays the bills,"$60,000 - $80,000","iPhone, Other Smart Phone, iPad, Other netbook","$501-$1,000",Stack Overflow
Australia,,25-29,<2,Other,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Washington,30-34,11,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, PHP, SQL, actionscript",Mac OS X,I enjoy going to work,,"iPhone, Android, Kindle, Blu-Ray, PS3, Wii","$1,001-$2,000",Stack Overflow
United States of America,Texas,25-29,41310,Other,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, C++, C, Perl",Linux,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone","$501-$1,000",Stack Overflow
United States of America,Massachusetts,51-60,11,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, $10,001 - $25,000",Enterprise,"Java, SQL, C",Linux,I'm not happy in my job,"$100,000 - $120,000","iPhone, Android, Blackberry, Kindle, HDTV, AppleTV, iPad","$1,001-$2,000",Stack Overflow
United States of America,Louisiana,30-34,41435,Education,Student,Student,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, C++, Mathematica",Mac OS X,I'm not happy in my job,"<$20,000","nan, Regular Mobile Phone","$2,001-$3,000",Stack Overflow
Germany,,25-29,41435,Software Products,Start Up (1-25),Embedded Application Developer,I run this place,"nan, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"nan, C, Objective-C",Mac OS X,I enjoy going to work,"$20,000 - $40,000","iPhone, Regular Mobile Phone, HDTV, iPad","$1,001-$2,000",Stack Overflow
United States of America,California,30-34,11,Foundation / Non-Profit,"Fortune 1000 (1,000+)",Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, $41,000 - $75,000",Enterprise,"Java, Python, C++",Mac OS X,I enjoy going to work,,"nan, Blackberry, Regular Mobile Phone, Blu-Ray, Wii","$501-$1,000",Stack Overflow
United States of America,Pennsylvania,20-24,41310,Software Products,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Enterprise,"nan, Python, SQL, C++, vb.net",Windows 7,It pays the bills,"$20,000 - $40,000","nan, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,Illinois,25-29,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, Python, C#, C++",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Blu-Ray, HDTV, Wii, Tivo",">$3,000",Stack Overflow
United Kingdom,,20-24,41310,Software Products,,,,nan,nan,nan,,nan,,,,nan,,
