Year,Which languages are you proficient in?
2012,"Java, JavaScript"
2012,"JavaScript, CSS, SQL, C#"
2012,"Java, Perl"
2012,C
2012,"Python, Objective-C, SQL, C#, C++, C"
2012,"Java, Groovy"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5, VB.NET"
2012,
2012,
2012,"JavaScript, CSS, PHP, C#, HTML5"
2012,"JavaScript, Ruby, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C++, C"
2012,"SQL, C++, C"
2012,"Python, SQL, C, Perl"
2012,"Java, JavaScript, CSS, HTML5"
2012,
2012,"Java, JavaScript, CSS, Objective-C, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, JavaScript, CSS, PHP, C++, C, VB.NET"
2012,"JavaScript, Python, SQL, C#"
2012,Java
2012,"Java, SQL, C++, C"
2012,"JavaScript, CSS, PHP, C#, Delphi"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, C"
2012,"CSS, PHP, C#, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++"
2012,
2012,"JavaScript, CSS, SQL, C#"
2012,
2012,"JavaScript, CSS, PHP, Objective-C, SQL, HTML5"
2012,C++
2012,"Java, JavaScript, CSS, SQL, HTML5"
2012,"Java, JavaScript, SQL, C#"
2012,"Java, Objective-C, C++, C, HTML5"
2012,"CSS, SQL, C#, HTML5"
2012,
2012,Java
2012,
2012,"Java, JavaScript, CSS, SQL, C"
2012,"Ruby, SQL, C#, C++"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++, C, HTML5"
2012,"JavaScript, CSS, SQL, C#"
2012,"Java, JavaScript"
2012,
2012,"JavaScript, CSS, Python, Objective-C, SQL, C#, C++, C, Perl, Asp.net"
2012,"JavaScript, Python, SQL, HTML5, jquery"
2012,"Python, C#, C++, R"
2012,"JavaScript, PHP, HTML5"
2012,
2012,"Java, Python, Objective-C, C#, C++, C, Clojure, Matlab"
2012,JavaScript
2012,"Java, JavaScript, CSS, PHP, Objective-C, SQL"
2012,
2012,C#
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C, HTML5"
2012,"Java, CSS, PHP, SQL, HTML5"
2012,"Java, PHP, Python, SQL, C"
2012,"JavaScript, CSS, PHP, Ruby, SQL, HTML5"
2012,"Java, PHP, Python, C++"
2012,"Python, Objective-C, C"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"SQL, C#"
2012,"JavaScript, CSS, PHP, Ruby, SQL, HTML5"
2012,"CSS, PHP, SQL, C#, HTML5"
2012,Objective-C
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, SQL, C#, C, BASIC"
2012,"Python, SQL, C#, C++, C, XSL"
2012,"JavaScript, CSS, PHP, Python, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, Objective-C, SQL, C++, HTML5"
2012,"Java, JavaScript, SQL, C#, HTML5"
2012,
2012,"PHP, SQL, Bash"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C, HTML5"
2012,Objective-C
2012,"Java, Objective-C"
2012,"Learning PHP, C, C++, Java, and a few others.  So I can't say I'm proficient in any."
2012,"JavaScript, CSS, SQL, Classic-ASP"
2012,Java
2012,"Java, Haskell"
2012,"JavaScript, CSS, SQL, C#, C++"
2012,"Java, JavaScript, PHP, Python, SQL, C++, C"
2012,Java
2012,"Java, JavaScript, Objective-C, C#, C++, C, HTML5"
2012,"Java, SQL, C#, C++, C, Perl"
2012,
2012,"Java, JavaScript, CSS, Python, Ruby, SQL, C#, C++"
2012,"Java, JavaScript, CSS, Objective-C, Ruby, C#, HTML5"
2012,
2012,"Java, Objective-C, C++, C"
2012,"Java, JavaScript, CSS, PHP, Objective-C, Ruby, SQL, C, Perl, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#"
2012,"CSS, PHP, HTML5"
2012,"Java, C#, C++, C"
2012,"JavaScript, SQL, C#"
2012,
2012,Matlab
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C#, HTML5"
2012,
2012,"Java, JavaScript, HTML5"
2012,"Java, JavaScript, CSS, Python, SQL, C, HTML5"
2012,Java
2012,"Java, JavaScript, CSS, Python, Objective-C, Ruby, SQL, C#, C, Lua"
2012,Java
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C"
2012,
2012,"Java, Python, C"
2012,"JavaScript, SQL, C#"
2012,"SQL, C#, C++"
2012,"Java, JavaScript, SQL"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"Java, Python, Objective-C"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, SQL, C#, C++, C, HTML5"
2012,"JavaScript, CSS, PHP, Python, SQL"
2012,
2012,
2012,
2012,
2012,"JavaScript, CSS, Python, HTML5"
2012,"Java, Objective-C, C++, C"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"PHP, SQL, C++, C, Delphi"
2012,
2012,"Java, JavaScript, CSS, PHP"
2012,"Java, C#, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C++, Perl, HTML5"
2012,
2012,"JavaScript, CSS, SQL, HTML5"
2012,"Java, JavaScript, CSS, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Ruby, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C#, HTML5, Mel"
2012,"PHP, Python, Ruby, SQL, C#"
2012,Java
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,
2012,"C++, C, Perl"
2012,"PHP, HTML5"
2012,C
2012,
2012,Java
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, C#, HTML5"
2012,
2012,"Python, C++, C"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C#, C"
2012,
2012,
2012,"SQL, C#, C++"
2012,
2012,"JavaScript, CSS, Ruby, SQL, HTML5"
2012,"Java, JavaScript, CSS, SQL"
2012,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++, C, Lots"
2012,"Java, C#, C++"
2012,
2012,C#
2012,C#
2012,"JavaScript, CSS, PHP"
2012,"Java, Objective-C, Smalltalk"
2012,"C#, HTML5"
2012,
2012,"Java, JavaScript, SQL, C"
2012,Java
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, SQL, C#"
2012,"Ruby, C#"
2012,"JavaScript, CSS, PHP, SQL, HTML5, XSLT"
2012,"PHP, Objective-C, C"
2012,"JavaScript, CSS, PHP, Python"
2012,"JavaScript, CSS, Python, SQL"
2012,"Java, JavaScript, CSS, PHP, Python, SQL, Perl, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5, JQuery"
2012,
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"Java, JavaScript, PHP, SQL, C#, C"
2012,
2012,"Java, CSS, HTML5"
2012,"JavaScript, CSS, PHP, Python, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C++, C, HTML5"
2012,SQL
2012,"Java, JavaScript, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"Java, C, Android SDK"
2012,Objective-C
2012,"JavaScript, CSS, PHP"
2012,Perl
2012,"Java, JavaScript, CSS, Objective-C, SQL, C#, C++, C, HTML5"
2012,"JavaScript, CSS, Python, SQL, C#"
2012,"Ruby, HTML5"
2012,
2012,"Java, SQL, C++, C"
2012,"JavaScript, CSS, Python, SQL, HTML5"
2012,"Python, C++, C"
2012,"JavaScript, CSS, Objective-C, Ruby, HTML5"
2012,"JavaScript, CSS, PHP, Objective-C, C"
2012,"PHP, Objective-C, C++, C"
2012,"Java, JavaScript, C#, C++, HTML5"
2012,"Java, Python, C++"
2012,
2012,"SQL, C#"
2012,"PHP, Objective-C, SQL, C#"
2012,"Java, PHP, Python, C++, C, Perl, /bin/sh, lua, emacs lisp"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, HTML5"
2012,
2012,"Java, SQL"
2012,
2012,"Java, Python, C#"
2012,C++
2012,"Java, Objective-C, C++, C"
2012,"PHP, SQL, HTML5, Lisp"
2012,"CSS, SQL, C#"
2012,"Java, C++, C"
2012,"Java, C++, Common Lisp"
2012,"Java, JavaScript, CSS, SQL, C#, C"
2012,"Java, SQL, C++, C"
2012,"JavaScript, CSS, PHP, Python, Ruby, SQL, C#, HTML5, Coffescript, haml, sass, that sort of thing"
2012,"C++, C"
2012,"CSS, PHP, Python"
2012,"Java, JavaScript, CSS, Objective-C, C++, C, HTML5"
2012,"Java, Objective-C, C++, C, Perl"
2012,"Java, C++, C"
2012,
2012,"JavaScript, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, Ruby, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C, Perl, HTML5"
2012,Java
2012,"JavaScript, CSS, PHP, Python, SQL, Perl, HTML5"
2012,Java
2012,"JavaScript, CSS, Python"
2012,"Java, JavaScript, PHP, C++, Actionscript 1/2/3"
2012,"Java, JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"PHP, C#"
2012,
2012,"PHP, Objective-C, ActionScript 3"
2012,"Python, C#, DM"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C#, HTML5, VB"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"C#, C++"
2012,"C++, C"
2012,"Java, Python, SQL, C++, C"
2012,"Java, Python, Ruby, SQL, C#, C++, C"
2012,"JavaScript, C++"
2012,
2012,
2012,"Java, CSS, PHP, SQL, Perl"
2012,"JavaScript, CSS, Ruby, SQL, HTML5"
2012,"Java, SQL, C, Perl"
2012,"SQL, C#"
2012,
2012,"Python, C++, C, HTML5"
2012,"Java, JavaScript, CSS, Ruby, SQL, C#"
2012,
2012,"CSS, PHP, SQL"
2012,
2012,Java
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, Ruby, SQL, C++, Perl, HTML5"
2012,"Java, CSS, PHP, SQL, C++, D, Haskell, HTML 4"
2012,"JavaScript, CSS, PHP, C"
2012,"JavaScript, CSS, Objective-C, Ruby, SQL, HTML5"
2012,"Java, JavaScript, CSS, Python, Ruby, C++, C, HTML5"
2012,"Python, C#, C++, C, Haskell"
2012,Lisp
2012,"SQL, C#"
2012,"CSS, PHP, C#"
2012,Ruby
2012,"Java, JavaScript, CSS, SQL, C#, C, fortran forth pl1 ada pascal delphi dbl dibol bliss z80 68000"
2012,
2012,"PHP, C"
2012,"JavaScript, CSS, HTML5, Mathematica"
2012,"Java, CSS, PHP, SQL, C#"
2012,
2012,"JavaScript, PHP"
2012,
2012,"CSS, PHP, Objective-C, HTML5, mysql"
2012,"Java, SQL"
2012,"Java, SQL, C#"
2012,
2012,"Java, JavaScript, CSS, SQL, C#, C++, C, HTML5"
2012,"CSS, PHP, C, Perl, HTML5"
2012,"Java, JavaScript, CSS, SQL, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C++, C, HTML5"
2012,
2012,"JavaScript, PHP, Objective-C, SQL, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Ruby, SQL, C#, C++, C, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, CSS, SQL, C#, HTML5"
2012,"Java, Objective-C, C"
2012,C++
2012,"Java, PHP"
2012,"JavaScript, CSS, PHP, HTML5"
2012,"COBOL, RPG-400"
2012,"Java, JavaScript, CSS, PHP, Objective-C, Ruby, SQL, C#, HTML5"
2012,"Java, CSS, C++, C"
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, Ruby, SQL, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, Ruby, C#, C++"
2012,C#
2012,"Java, JavaScript, PHP, Perl"
2012,"JavaScript, CSS, Objective-C, Ruby, C, HTML5"
2012,"Python, C++"
2012,"Java, JavaScript, CSS, SQL"
2012,"PHP, SQL"
2012,"Ruby, SQL, C++"
2012,"JavaScript, CSS, SQL, C#"
2012,Java
2012,
2012,"Java, JavaScript, CSS, Perl"
2012,"Java, JavaScript, CSS, SQL, C#, C++, HTML5"
2012,"Java, SQL, C++"
2012,"Java, CSS, PHP, Python, SQL, C#, C, HTML5"
2012,"Java, CSS, HTML5"
2012,Objective-C
2012,"Java, PHP, SQL, FourJs"
2012,"JavaScript, CSS, Ruby, HTML5"
2012,"Java, Python"
2012,"Java, JavaScript, CSS, Objective-C, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Python, SQL, HTML5"
2012,
2012,"SQL, C#, C++, C"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, Perl"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"SQL, C#, Visual Studio 6.0"
2012,"C#, C++"
2012,
2012,Android
2012,"Java, SQL, C++, C"
2012,"C#, pl/sql"
2012,"JavaScript, CSS, PHP, Python, Objective-C, Ruby, SQL, C#, HTML5"
2012,"SQL, C#"
2012,
2012,"JavaScript, HTML5"
2012,"Java, C, Perl"
2012,"CSS, PHP, Objective-C, SQL, C++"
2012,"Java, PHP, C"
2012,Delphi
2012,"Java, JavaScript, SQL, C++, VBA"
2012,"Java, C"
2012,"JavaScript, CSS, PHP, Python, Objective-C, SQL, C#, C++, C, HTML5"
2012,
2012,"CSS, SQL, C#, C++, C"
2012,PHP
2012,"Java, Python, C++, C"
2012,"CSS, Objective-C, SQL, C#"
2012,"CSS, C#, C++, C, HTML5"
2012,
2012,"Java, SQL, C++, C, Perl, matlab"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,C++
2012,"JavaScript, CSS, PHP, Python, Ruby, SQL, HTML5"
2012,
2012,"Java, CSS, PHP, C#, C, XHTML Strict"
2012,"SQL, C, Perl"
2012,"SQL, C#, C++, C, Perl"
2012,"Java, JavaScript, CSS, SQL, C#, C++, HTML5"
2012,
2012,
2012,"Java, C#, C++, C"
2012,"C++, C"
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, Ruby, SQL, C#, C++, C, Perl, HTML5"
2012,
2012,"JavaScript, SQL, C#"
2012,Objective-C
2012,"JavaScript, PHP, Objective-C, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Python, Objective-C, Ruby, C++, C, HTML5, Erlang"
2012,"Java, Python"
2012,"PHP, SQL, C#, HTML5"
2012,"JavaScript, SQL, C#, C++, C"
2012,"JavaScript, CSS, PHP, Python, SQL, C++, HTML5"
2012,
2012,
2012,"Java, JavaScript, PHP, Python, Objective-C, Ruby, Perl, vhvhv"
2012,"Java, JavaScript, SQL, C#, C++, C, lisp"
2012,"JavaScript, CSS, SQL, C#"
2012,"JavaScript, C#, C++, C, HTML5"
2012,"C#, C++, VB"
2012,"JavaScript, CSS, SQL, C#"
2012,
2012,"Java, Python, SQL, HTML5"
2012,"Java, JavaScript, CSS, SQL, C#"
2012,
2012,
2012,
2012,"CSS, PHP, Python, SQL, C++, C, HTML5"
2012,PHP
2012,"SQL, C#, C++"
2012,"Java, Python, C++, C"
2012,"JavaScript, PHP, Objective-C, C++, C"
2012,"JavaScript, CSS, PHP, HTML5"
2012,"Java, JavaScript, CSS, Ruby, C#, HTML5"
2012,"Java, JavaScript, CSS, PHP, Objective-C, Ruby, SQL, HTML5"
2012,"Java, CSS, Ruby, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, Objective-C, SQL, C#, HTML5"
2012,"Python, Ruby, SQL, C++, C"
2012,
2012,
2012,"JavaScript, SQL, C#, vb.net"
2012,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++, Perl, HTML5"
2012,"SQL, C#"
2012,"JavaScript, CSS, PHP, SQL, C++, C, Perl, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C, HTML5"
2012,"Java, CSS, PHP, SQL, C#, C"
2012,"C#, VB"
2012,"Java, PHP, SQL"
2012,"CSS, PHP, SQL, Perl, HTML5"
2012,"JavaScript, CSS, Objective-C, SQL, C#, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, Python, SQL, HTML5"
2012,
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"PHP, C#, C++, C"
2012,"JavaScript, PHP, Python, Ruby"
2012,"CSS, PHP, Python, SQL, C++, C, Perl"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"C#, C++, C"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,
2012,Java
2012,"Java, PHP, SQL, C#"
2012,"Java, JavaScript, CSS, PHP, HTML5"
2012,"Java, JavaScript, CSS"
2012,"JavaScript, C#, HTML5"
2012,
2012,"Java, SQL, C#"
2012,"Java, JavaScript, CSS, PHP, SQL, C#"
2012,"Java, JavaScript, CSS"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, C#"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, Python, SQL, HTML5"
2012,
2012,"Java, Python, SQL, C++"
2012,"Java, PHP"
2012,
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL"
2012,"SQL, C#"
2012,"JavaScript, SQL, HTML5, Coldfusion"
2012,"JavaScript, CSS, PHP, Python, Objective-C, SQL, HTML5"
2012,"JavaScript, PHP, SQL"
2012,"Java, JavaScript, CSS, PHP, SQL, Perl"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++, C, HTML5"
2012,"Java, SQL"
2012,"JavaScript, PHP, SQL, C#, HTML5"
2012,"Java, JavaScript, Python, SQL, C"
2012,"JavaScript, CSS, SQL, C#"
2012,
2012,"JavaScript, CSS, PHP, Python, Ruby, C#, C++, C, HTML5, Delphi, Assembly, Lua"
2012,Ruby
2012,"JavaScript, CSS, SQL, C#, F#"
2012,"Java, JavaScript, CSS, Ruby"
2012,"JavaScript, PHP, Ruby, SQL, HTML5"
2012,"Java, JavaScript, Objective-C"
2012,"JavaScript, PHP, Ruby"
2012,"SQL, C#, C++"
2012,"Java, SQL, C#"
2012,
2012,"JavaScript, SQL, C#"
2012,"Java, JavaScript, CSS, PHP, SQL, C++, HTML5"
2012,"Python, C++"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C"
2012,
2012,C
2012,"Java, JavaScript, CSS, PHP, Objective-C, SQL, C, Perl"
2012,
2012,"Objective-C, C++, C"
2012,"Java, JavaScript, CSS, SQL, C#, C++, HTML5, VB and I'll kick your ass in FORTRAN."
2012,Java
2012,"JavaScript, CSS, SQL, C#, BASIC (LIKE EVERYONE ELSE)"
2012,"Java, JavaScript, PHP, C"
2012,
2012,"Java, Objective-C, C++, C, Phrogram"
2012,"Java, JavaScript, CSS, PHP, SQL"
2012,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C++, C, Groovy"
2012,"Java, JavaScript, PHP, Python, Ruby, C++, Perl, scala"
2012,"Python, Haskell"
2012,"Java, JavaScript, CSS, C#"
2012,"Java, JavaScript, CSS, SQL, C#, C++, C, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++, C, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"Java, JavaScript, CSS, Ruby, SQL, HTML5"
2012,"Python, C++, C"
2012,
2012,"Java, JavaScript, Python, SQL, C++, C"
2012,"JavaScript, CSS, Python, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, Perl, HTML5"
2012,"JavaScript, SQL, C#, VBA"
2012,"Java, JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,
2012,"CSS, Python, Ruby, SQL, C#"
2012,"C++, Lua"
2012,"Java, JavaScript, PHP, SQL"
2012,"JavaScript, CSS, SQL, C#, C++"
2012,
2012,"JavaScript, CSS, PHP, HTML5"
2012,"Java, Python"
2012,"JavaScript, CSS, PHP, Python, SQL, C#, HTML5, Actionscript, Bash"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C, HTML5"
2012,"Ruby, C"
2012,"JavaScript, CSS, PHP, Python, Objective-C, Ruby, SQL, HTML5"
2012,
2012,VB.net
2012,"Java, SQL, C++, C, HTML5"
2012,"JavaScript, CSS, PHP, SQL"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, SQL, C#, C++"
2012,
2012,"JavaScript, CSS, PHP, Python, C++, C, Perl, HTML5, XUL"
2012,"Java, C#, C++, C"
2012,
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C#, Perl, HTML5"
2012,
2012,"PHP, C++, HTML5"
2012,"SQL, C#"
2012,C++
2012,"Java, JavaScript, CSS, Objective-C, SQL, C#, C++, C"
2012,"JavaScript, SQL, C#"
2012,"JavaScript, CSS, Python, SQL, C"
2012,"Java, JavaScript, PHP, SQL, C++"
2012,"Java, JavaScript, CSS, PHP, Objective-C, SQL, C, HTML5, 68k Assembly"
2012,"JavaScript, CSS, SQL, C#, C++, C"
2012,
2012,"JavaScript, PHP, Python, SQL"
2012,
2012,"CSS, PHP, Ruby, SQL, HTML5"
2012,
2012,"JavaScript, CSS, PHP, Python, SQL, C#, C++, C, Perl, HTML5"
2012,"C, Delphi"
2012,"Java, JavaScript, CSS, Ruby, SQL, C#, Coldfusion"
2012,"Java, JavaScript, CSS, HTML5"
2012,
2012,"JavaScript, CSS, SQL, C#"
2012,C
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++, C, Perl, unix shell, xpath, xquery"
2012,"JavaScript, CSS, PHP, C++, C"
2012,"Java, JavaScript, CSS, PHP, Python, SQL, C++, HTML5"
2012,"Java, Python, SQL, C++, C"
2012,C++
2012,"JavaScript, CSS, PHP, Objective-C, SQL, HTML5"
2012,"JavaScript, CSS, PHP, HTML5"
2012,"JavaScript, CSS, SQL, HTML5, vb.net"
2012,
2012,"Java, JavaScript, CSS, SQL, C#, C++, HTML5"
2012,"JavaScript, Python, SQL, Perl, HTML5, R"
2012,"JavaScript, PHP, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"JavaScript, PHP, SQL, HTML5"
2012,C#
2012,"JavaScript, CSS, C#, C++, HTML5"
2012,"CSS, Python"
2012,"Python, HTML5, Haskell, Common Lisp, Racket"
2012,"Java, JavaScript, CSS, Objective-C, SQL, C#, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"C#, C++"
2012,
2012,"JavaScript, CSS, SQL, HTML5, coldfusion"
2012,"CSS, PHP, SQL"
2012,"Java, JavaScript, CSS, SQL, HTML5"
2012,"Java, CSS, PHP, C#"
2012,"Java, JavaScript, Python, C"
2012,
2012,"CSS, PHP, HTML5, Awesomeness"
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, SQL, C, HTML5"
2012,"JavaScript, CSS, SQL, C#, C++"
2012,"Java, PHP"
2012,"JavaScript, Python, HTML5"
2012,"CSS, SQL, C#, HTML5"
2012,"JavaScript, Python"
2012,"Python, C#, C++, C"
2012,"CSS, Python, C, HTML5"
2012,Objective-C
2012,
2012,"PHP, C#, C++"
2012,"C#, C++, HTML5"
2012,
2012,"Java, CSS, PHP, Python, SQL, C++, C"
2012,C
2012,"Java, JavaScript, CSS, SQL, C#, HTML5"
2012,"C++, C"
2012,
2012,"Java, JavaScript, CSS, PHP, Objective-C, SQL, C++, C, HTML5"
2012,"JavaScript, CSS, PHP, HTML5"
2012,"Java, JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, HTML5"
2012,"Java, CSS, PHP, SQL, C#, HTML5"
2012,"Java, CSS, SQL, C#"
2012,"JavaScript, CSS, SQL, VB"
2012,
2012,"Java, JavaScript, CSS, PHP, HTML5"
2012,"PHP, Ruby, SQL, HTML5"
2012,
2012,"JavaScript, CSS, PHP, Objective-C, SQL, HTML5"
