Year,Which of the following languages or technologies have you used significantly in the past year?
2014,"C#, JavaScript, SQL, VB.NET"
2014,"C#, JavaScript, SQL"
2014,"C++, C#, Java, JavaScript, PHP, SQL, Visual Basic"
2014,"JavaScript, PHP, SQL"
2014,"SQL, VB.Net, ActionScript 2.0, ActionScript 3.0"
2014,"Java, JavaScript"
2014,"C, PHP, SQL"
2014,Haskell
2014,"C, C++, Java, JavaScript, PHP, SQL"
2014,"JavaScript, Objective-C, VB.NET"
2014,"C, JavaScript, PHP, Python, SQL, Lua"
2014,Java
2014,Python
2014,"JavaScript, Python, Ruby"
2014,"C#, JavaScript, Ruby"
2014,"C#, JavaScript, SQL"
2014,"C++, C#, JavaScript, Python, SQL"
2014,"Java, JavaScript, SQL, LotusScript"
2014,"C#, JavaScript, PHP, SQL"
2014,Java
2014,"JavaScript, Python"
2014,"C#, Java, SQL"
2014,"C++, JavaScript, Python"
2014,"C#, JavaScript"
2014,"C, C++, Java, Objective-C, Ruby"
2014,"C, C++, JavaScript, PHP, SQL"
2014,"JavaScript, SQL, VB.NET"
2014,"C, C++, JavaScript, PHP, SQL"
2014,"C++, Java, Objective-C"
2014,"C#, VB6"
2014,"JavaScript, PHP, SQL"
2014,C#
2014,"C++, C#, JavaScript, Node.js, SQL, Arduino"
2014,"Java, JavaScript"
2014,"JavaScript, Python"
2014,"C, C++, Java, Python, SQL, assembly"
2014,"C, C++, Python, Go, Redis, MongoDB"
2014,"Java, JavaScript, Node.js"
2014,"Java, JavaScript, SQL"
2014,"C++, C#, JavaScript, Objective-C, SQL"
2014,"C, C++, JavaScript, Python"
2014,"C#, Java, SQL"
2014,"C#, Java, JavaScript, Node.js, SQL"
2014,"C#, SQL"
2014,"SQL, VBA, Drupal"
2014,"C#, Java"
2014,"JavaScript, Node.js, SQL"
2014,"JavaScript, Node.js"
2014,"Java, Objective-C"
2014,"C#, SQL"
2014,"C#, JavaScript, Node.js, SQL"
2014,"C, Java, JavaScript"
2014,"Java, SQL"
2014,"C, C++, C#, Lua, x86 ASM"
2014,"C#, Objective-C, SQL"
2014,Objective-C
2014,"C++, JavaScript, PHP, Python, SQL"
2014,C#
2014,"C, C++, C#, PHP, Python, SQL"
2014,"C#, JavaScript"
2014,"C#, JavaScript, Node.js, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"Java, JavaScript, Node.js"
2014,"Java, JavaScript, SQL"
2014,"C++, C#, Java"
2014,"C++, JavaScript, Python"
2014,"C, C++, C#, Java, Python"
2014,C++
2014,"PHP, SQL"
2014,"Java, JavaScript, Node.js, SQL"
2014,C#
2014,"C++, Java, JavaScript, Objective-C"
2014,"Java, JavaScript, SQL"
2014,"C#, Java, Objective-C, Python, MongoDB"
2014,"C#, Java, JavaScript, Objective-C, SQL"
2014,"C, SQL"
2014,"JavaScript, Ruby"
2014,"JavaScript, Node.js, lua"
2014,"C#, JavaScript, Node.js, SQL"
2014,"Java, JavaScript, PHP, Python, SQL"
2014,"C, C++, Java, PHP, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"C, C++, C#, Java, Python, SQL, Racket , Octave"
2014,"C#, JavaScript, PHP, SQL"
2014,"C, C++, Java, JavaScript"
2014,"JavaScript, PHP"
2014,"Java, Assembly, VHDL"
2014,"C, C++, C#, JavaScript, Objective-C, PHP, SQL"
2014,"JavaScript, PHP, SQL"
2014,"C#, JavaScript, html"
2014,"Node.js, Objective-C"
2014,"JavaScript, PHP, SQL, NOSQL"
2014,"Objective-C, Ruby"
2014,C#
2014,"JavaScript, Python"
2014,"Java, JavaScript, Scala"
2014,"C#, Wix, msbuild"
2014,"C, C++, Python, SQL"
2014,"C, C++, Java, JavaScript, SQL"
2014,"Java, JavaScript, Objective-C, PHP, SQL"
2014,"C, C++, Qt"
2014,"C++, C#, Java, JavaScript, SQL, VBScript"
2014,"Java, JavaScript, PHP, Python, SQL"
2014,"C#, JavaScript"
2014,"C#, Java, JavaScript"
2014,"C#, Java, SQL"
2014,"C++, JavaScript, Visual Basic 2008"
2014,"JavaScript, Ruby, SQL, Rails"
2014,"C, C++, JavaScript, Node.js, Python, SQL"
2014,"C, C++, C#, Java, Bash script and Batch script"
2014,C
2014,"JavaScript, PHP, SQL"
2014,"JavaScript, PHP, SQL"
2014,"C++, Java, JavaScript"
2014,"Java, JavaScript, SQL"
2014,"C#, LotusScript"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, PHP"
2014,"JavaScript, Python, SQL"
2014,"C#, XAML"
2014,"C, C++, Java, JavaScript, PHP, Python, SQL"
2014,"C#, JavaScript, PHP, Backbone.js"
2014,"C, Java, JavaScript, Objective-C, Python, SQL"
2014,Java
2014,"C, PHP, Python"
2014,"C#, Java, JavaScript, Node.js, Objective-C, PHP, Python, Ruby, SQL"
2014,"JavaScript, PHP"
2014,"C, Java"
2014,"JavaScript, Node.js, Python, SQL"
2014,"C++, Java, JavaScript, PHP, Python, SQL"
2014,"C#, Java"
2014,"C, C++, Java, Objective-C, SQL"
2014,"SQL, Perl"
2014,"C, C++, JavaScript, Node.js, Objective-C, PHP, Ruby"
2014,C
2014,"C++, Java, SQL, Android, SQLite"
2014,"JavaScript, PHP, Ruby, SQL"
2014,"C, C++, Java, JavaScript, Node.js, Python"
2014,"C, C++, C#, Java"
2014,"JavaScript, Python"
2014,"Java, JavaScript, PHP"
2014,"C#, SQL"
2014,"JavaScript, Node.js, Ruby"
2014,"PHP, SQL"
2014,"C#, Java"
2014,"Java, JavaScript, jquery"
2014,"C++, Python, MongoDB, R"
2014,"C, C++, Java, JavaScript, PHP, SQL, codeigninter"
2014,"JavaScript, Python"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, Node.js, PHP, SQL"
2014,PowerShell
2014,"JavaScript, Node.js, PHP, SQL"
2014,"C#, Java, SQL"
2014,"JavaScript, Node.js, PHP"
2014,"C#, Java, PHP, SQL"
2014,"C#, JavaScript, Ruby, SQL"
2014,"C++, JavaScript, PHP, SQL"
2014,"C, C++, Python, SQL, Assembler (in disassembly)"
2014,C++
2014,"C#, JavaScript"
2014,Java
2014,"Java, JavaScript, Node.js, Objective-C, PHP, Ruby, SQL"
2014,"C++, C#, Java, JavaScript, Python, SQL"
2014,"Python, Haskell"
2014,"C, JavaScript, Objective-C, SQL, Perl"
2014,"Java, JavaScript, Objective-C, PHP, Ruby, SQL"
2014,Node.js
2014,"Ruby, SQL, R"
2014,PHP
2014,JavaScript
2014,"C, C++, Java, Go, Matlab, Accumulo"
2014,Java
2014,"C#, SQL, Powershell"
2014,"C#, JavaScript, SQL"
2014,"C++, Java, JavaScript, Objective-C, PHP, Ruby, SQL"
2014,"C, Java, JavaScript, Objective-C, Python, Groovy"
2014,"Java, JavaScript, Python, Clojure"
2014,"C#, JavaScript, SQL, Coffeescript"
2014,Java
2014,"C, C++, Python, Matlab"
2014,"Java, JavaScript, PHP, Ruby, SQL"
2014,"C++, JavaScript, Node.js, PHP"
2014,"C, Ruby, SQL, D"
2014,"Java, SQL"
2014,"C++, C#, Java, JavaScript, Node.js, SQL"
2014,"C, C++, JavaScript, Python"
2014,"JavaScript, PHP, SQL"
2014,"Java, SQL, Perl"
2014,"JavaScript, Objective-C, Python, Ruby, SQL"
2014,R
2014,"Java, JavaScript, Ruby, SQL"
2014,"C#, JavaScript, Node.js, SQL"
2014,"JavaScript, Node.js, PHP, Python, SQL"
2014,"C++, Java, JavaScript, Python"
2014,"C, C++, PERL"
2014,"Java, JavaScript, PHP, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"Java, Python"
2014,"JavaScript, PHP, Ruby, SQL"
2014,"C#, JavaScript, PHP, SQL"
2014,"C, Objective-C"
2014,"SQL, Cobol"
2014,"C#, SQL"
2014,"Java, JavaScript, SQL, xslt, groovy"
2014,"C, C++, Java, Python, Ruby"
2014,"C++, Python"
2014,"JavaScript, PHP, Ruby, SQL"
2014,"C#, Objective-C, SQL"
2014,Ruby
2014,"C++, Java, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript"
2014,"C, C++, JavaScript, PHP, Python, Ruby, SQL, x86 and ARM assembly"
2014,"Java, JavaScript, SQL, vb.net"
2014,C
2014,"C++, Java, JavaScript, PHP, Python, SQL"
2014,"Java, JavaScript, Python"
2014,"C#, Java, JavaScript, PHP"
2014,"C, JavaScript, PHP, Ruby, SQL, Scala"
2014,"JavaScript, Python, Ruby, VHDL, Verilog, Makefiles"
2014,"JavaScript, PHP, SQL"
2014,"C#, JavaScript, Node.js, PHP, Python, SQL, Unity"
2014,"Java, JavaScript, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, Ruby, SQL"
2014,"SQL, Perl"
2014,"JavaScript, Python, Ruby"
2014,"C++, C#, Java"
2014,"JavaScript, PHP, SQL"
2014,"C, asm (arm, arm64)"
2014,"JavaScript, Python"
2014,"Java, SQL"
2014,"Java, JavaScript, SQL"
2014,"Java, Objective-C"
2014,Java
2014,"C#, JavaScript, Objective-C, Python, SQL"
2014,"Java, JavaScript, PHP"
2014,"C++, Java, JavaScript, Python, SQL"
2014,"C++, C#, Java, JavaScript, SQL"
2014,"C#, SQL, vb.net"
2014,"PHP, Python, MySQL"
2014,"SQL, SAS, Stata"
2014,"C#, Java, JavaScript, Node.js, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,C#
2014,"JavaScript, PHP, SQL"
2014,"Python, Ruby, shell"
2014,"C, Java, JavaScript"
2014,"C, C++"
2014,"C#, JavaScript"
2014,"C#, SQL"
2014,"C#, Java"
2014,"Java, Groovy, PL/I"
2014,"JavaScript, PHP, SQL"
2014,"C#, Java, JavaScript, PHP, SQL"
2014,"C++, Python, Ruby, R"
2014,"Python, Ruby, SQL"
2014,"JavaScript, PHP, Python, SQL"
2014,"Java, JavaScript, Node.js, Python, Ruby, SQL"
2014,"Java, JavaScript, Objective-C, PHP, SQL"
2014,"Java, JavaScript, OCaml"
2014,"C++, JavaScript, PHP, Python, Stata"
2014,"C#, Java, JavaScript, PHP, SQL"
2014,"C#, Java, JavaScript, Node.js"
2014,"SQL, SSRS"
2014,Java
2014,"C#, JavaScript, SQL"
2014,C
2014,"C#, JavaScript, SQL"
2014,"C, C++, Java, JavaScript, Ruby"
2014,"JavaScript, Node.js, SQL, Coldfusion"
2014,"C++, Python"
2014,"C#, JavaScript, SQL"
2014,"Java, SQL"
2014,"C#, JavaScript, Node.js"
2014,"C, C++, C#, Java"
2014,"JavaScript, Ruby"
2014,"JavaScript, Ruby, SQL"
2014,"C, Objective-C, Erlang"
2014,"Java, vb.net"
2014,"JavaScript, PHP, Ruby"
2014,"C++, Python"
2014,"C#, JavaScript, Node.js, PHP, SQL"
2014,JavaScript
2014,"C, Java, SQL"
2014,"C#, JavaScript, PHP, SQL"
2014,"Java, JavaScript, SQL, Groovy, Bash"
2014,"Python, R"
2014,"C#, JavaScript, SQL"
2014,Objective-C
2014,"Python, R, Matlab"
2014,"Java, JavaScript, PHP, Ruby, SQL, PERL, BASH"
2014,"Java, JavaScript, SQL"
2014,"Python, VBA"
2014,"C++, C#, Python"
2014,"C#, JavaScript, SQL, HTML, CSS"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,"C, C#, Java"
2014,"Java, JavaScript"
2014,"C#, JavaScript, SQL"
2014,"C, JavaScript, PHP, Python, Ruby, SQL"
2014,"C++, Java, JavaScript, Node.js, PHP, Ruby"
2014,"C#, SQL"
2014,"Java, JavaScript, PHP, SQL"
2014,SQL
2014,"C#, SQL"
2014,"C#, Java, JavaScript"
2014,"Java, JavaScript, PHP, Python, SQL"
2014,"C#, SQL"
2014,"C++, Java, JavaScript, PHP, Python, SQL"
2014,"C, JavaScript, Python"
2014,"C#, JavaScript, PHP, SQL"
2014,C++
2014,"C#, JavaScript"
2014,"C++, C#, Java, JavaScript, PHP, SQL"
2014,"C#, JavaScript, Objective-C, PHP, SQL"
2014,"C#, JavaScript, PHP, Haskell"
2014,"C#, SQL, Powershell"
2014,"C#, Java, Groovy"
2014,"VBA, Visual Basic (Classic, not .NET)  Old guy. ;-)"
2014,"JavaScript, PHP, SQL"
2014,"Java, Python, SQL"
2014,"C, C#, JavaScript, PHP, SQL, VB.NET, VBA"
2014,"C, Java, PHP, SQL, Scala"
2014,"C, C++, Java, PHP, SQL"
2014,Java
2014,"C#, JavaScript, SQL"
2014,"C#, SQL"
2014,"C, C++, Java, JavaScript, Python, SQL"
2014,"C++, SQL, mysql"
2014,"Ruby, SQL, erlang, xml, sh"
2014,kdb+
2014,"JavaScript, PHP, SQL"
2014,"SQL, sas"
2014,"C++, Python, SQL"
2014,"C#, Python, SQL"
2014,"JavaScript, Node.js, PHP, Python, SQL, Go"
2014,"Java, JavaScript, Python, SQL"
2014,"Java, JavaScript, Node.js, Objective-C, SQL"
2014,"C, C++, MATLAB"
2014,"C#, JavaScript, Ruby, SQL"
2014,"Java, JavaScript, Python, SQL"
2014,"C#, JavaScript"
2014,"C#, JavaScript, Node.js, SQL"
2014,"C, C++, SQL, Haskell"
2014,"C++, Java, Objective-C"
2014,"JavaScript, Python, SQL"
2014,"C, C++, Objective-C"
2014,"Python, Ruby, SQL"
2014,Java
2014,"C#, JavaScript, PHP, SQL"
2014,"JavaScript, Node.js, PHP, SQL"
2014,"C#, SQL"
2014,"Java, JavaScript, SQL"
2014,Python
2014,"Java, PHP, SQL"
2014,"JavaScript, Objective-C, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, Java, Python"
2014,Java
2014,"C#, JavaScript, PHP"
2014,"C#, JavaScript, SQL, Cassandra"
2014,"JavaScript, Objective-C, PHP, SQL"
2014,"C#, SQL, VBA, VB.NET"
2014,"JavaScript, PHP, SQL"
2014,"C, Python"
2014,"C#, JavaScript, SQL"
2014,Java
2014,"C#, Python"
2014,"Java, Objective-C, SQL"
2014,"C#, JavaScript, Objective-C, PHP, SQL"
2014,"JavaScript, Node.js, Python, Shell"
2014,"C, C++, C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL, delphi"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL, VB"
2014,"C, C++, Java, JavaScript, Objective-C, PHP, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"Java, JavaScript, SQL"
2014,Java
2014,"Java, JavaScript, Objective-C"
2014,"C, JavaScript, Objective-C, Ruby, SQL"
2014,"C#, Java, Python"
2014,"C, C++, Java, Python, SQL"
2014,"C, C++, JavaScript, Node.js, PHP, SQL"
2014,"SQL, AutoIt, VBScript, Perl"
2014,"JavaScript, scala"
2014,"JavaScript, PHP"
2014,"C++, C#, Java, Python"
2014,"Java, Python, SQL"
2014,"Ruby, golang, perl"
2014,"JavaScript, Python, AngularJS"
2014,"C#, SQL"
2014,"JavaScript, PHP, HTML"
2014,"JavaScript, Node.js, Actionscript"
2014,"C#, PHP, SQL"
2014,Java
2014,"SQL, R"
2014,JavaScript
2014,"JavaScript, Node.js, AngularJS"
2014,"C, JavaScript, Node.js, Python, Ruby"
2014,"C, C++, Java, JavaScript, Node.js, Python, Ruby, SQL"
2014,"JavaScript, Ruby, SQL"
2014,"Java, JavaScript, Objective-C, Python"
2014,"C#, JavaScript, Node.js, SQL, Powershell"
